dt,adm_cd2,adm_nm,nx,ny,PCP,POP,PTY,REH,SKY,SNO,TMN,TMP,TMX,UUU,VEC,VVV,WAV,WSD
2025-08-31 04:00:00+09:00,1153078000,오류2동,57,125,,30.0,0.0,95.0,4.0,,,26.0,,-1.0,132.0,1.0,-999.0,1.5
2025-08-31 05:00:00+09:00,1153078000,오류2동,57,125,,30.0,0.0,90.0,4.0,,,26.0,,-0.6,153.0,1.4,-999.0,1.6
2025-08-31 06:00:00+09:00,1153078000,오류2동,57,125,,30.0,0.0,90.0,4.0,,25.0,26.0,,-0.7,148.0,1.3,-999.0,1.5
2025-08-31 07:00:00+09:00,1153078000,오류2동,57,125,,30.0,0.0,90.0,4.0,,,26.0,,-0.5,161.0,1.7,-999.0,1.8
2025-08-31 08:00:00+09:00,1153078000,오류2동,57,125,,30.0,0.0,85.0,4.0,,,27.0,,0.0,178.0,2.4,-999.0,2.4
2025-08-31 09:00:00+09:00,1153078000,오류2동,57,125,,30.0,0.0,80.0,4.0,,,28.0,,0.1,182.0,2.9,-999.0,2.9
2025-08-31 10:00:00+09:00,1153078000,오류2동,57,125,,30.0,0.0,75.0,4.0,,,29.0,,0.5,189.0,3.0,-999.0,3.0
2025-08-31 11:00:00+09:00,1153078000,오류2동,57,125,,60.0,4.0,75.0,4.0,,,31.0,,1.4,204.0,3.2,-999.0,3.5
2025-08-31 12:00:00+09:00,1153078000,오류2동,57,125,,60.0,4.0,70.0,4.0,,,31.0,,2.4,219.0,3.0,-999.0,3.8
2025-08-31 13:00:00+09:00,1153078000,오류2동,57,125,,30.0,0.0,70.0,4.0,,,31.0,,3.1,230.0,2.6,-999.0,4.0
2025-08-31 14:00:00+09:00,1153078000,오류2동,57,125,,60.0,4.0,70.0,4.0,,,31.0,,3.2,234.0,2.3,-999.0,3.9
2025-08-31 15:00:00+09:00,1153078000,오류2동,57,125,,20.0,0.0,70.0,3.0,,,31.0,31.0,3.4,242.0,1.8,-999.0,3.8
2025-08-31 16:00:00+09:00,1153078000,오류2동,57,125,,60.0,4.0,70.0,3.0,,,31.0,,2.7,236.0,1.8,-999.0,3.2
